Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,99870085.57,1320.64,99608547.09879851
2011-09-30,88395228.105,1131.42,85336732.46192953
2012-12-31,98717327.38,1426.19,107569597.9122512
2013-09-30,112019537.89,1681.55,126829985.74477875
2013-12-31,119504206.815,1848.36,139411538.43252906
2014-03-31,124721043.57000002,1872.34,141220216.76987246
2014-06-30,130287575.09213334,1960.23,147849271.77692467
2014-09-30,128221277.58383739,1972.29,148758890.65717325
2014-12-31,132292166.2808896,2058.9,155291402.3668193
2015-03-31,136145976.00935194,2067.89,155969468.1821953
2015-06-30,129632415.13465954,2063.11,155608939.30594423
2015-09-30,113642882.40441945,1920.03,144817208.84276265
2015-12-31,123833352.87585816,2043.94,154163052.57838488
2016-03-31,132227199.92669788,2059.74,155354758.90574208
2016-06-30,131606475.14490703,2098.86,158305363.43271765
2016-09-30,136591332.46378338,2168.27,163540574.5834685
2017-03-31,141141156.66056406,2362.72,178206859.0995829
2017-06-30,154735934.35056406,2423.41,182784369.03675434
