Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,101535111.32000001,1320.64,99608547.09879851
2011-09-30,92896470.785,1131.42,85336732.46192953
2012-12-31,116551882.07,1426.19,107569597.9122512
2013-09-30,139280232.73999998,1681.55,126829985.74477875
2013-12-31,145853198.42499998,1848.36,139411538.43252906
2014-03-31,146844801.71,1872.34,141220216.76987246
2014-06-30,151543670.47,1960.23,147849271.77692467
2014-09-30,147704085.81500003,1972.29,148758890.65717325
2014-12-31,159115606.60000002,2058.9,155291402.3668193
2015-03-31,159233714.13500002,2067.89,155969468.1821953
2015-06-30,148806604.77,2063.11,155608939.30594423
2015-09-30,137616727.675,1920.03,144817208.84276265
2015-12-31,143838854.785,2043.94,154163052.57838488
2016-03-31,158002952.10500005,2059.74,155354758.90574208
2016-06-30,165060117.67000002,2098.86,158305363.43271765
2016-09-30,167449477.305,2168.27,163540574.5834685
2017-03-31,182460105.345,2362.72,178206859.0995829
2017-06-30,184923391.22833335,2423.41,182784369.03675434
