Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,99800465.36918092,1320.64,99608547.09879851
2011-09-30,84094309.56135014,1131.42,85336732.46192953
2012-12-31,90492246.63091809,1426.19,107569597.9122512
2013-09-30,111489624.75879988,1681.55,126829985.74477875
2013-12-31,117762603.4612841,1848.36,139411538.43252906
2014-03-31,114895524.22903688,1872.34,141220216.76987246
2014-06-30,119887321.6490369,1960.23,147849271.77692467
2014-09-30,114491415.43403688,1972.29,148758890.65717325
2014-12-31,115452115.27903691,2058.9,155291402.3668193
2015-03-31,113893417.1640369,2067.89,155969468.1821953
2015-06-30,109861042.9290369,2063.11,155608939.30594423
2015-09-30,101579174.17403689,1920.03,144817208.84276265
2015-12-31,106196661.3740369,2043.94,154163052.57838488
2016-03-31,116681851.1040369,2059.74,155354758.90574208
2016-06-30,121530593.7590369,2098.86,158305363.43271765
2016-09-30,120243009.30403689,2168.27,163540574.5834685
2017-03-31,129077053.91403688,2362.72,178206859.0995829
2017-06-30,129447350.29403691,2423.41,182784369.03675434
