Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,102076688.82918093,1320.64,99608547.09879851
2011-09-30,83049870.60135013,1131.42,85336732.46192953
2012-12-31,109863313.7909181,1426.19,107569597.9122512
2013-09-30,131545948.87879989,1681.55,126829985.74477875
2013-12-31,137837292.40128413,1848.36,139411538.43252906
2014-03-31,141714566.04753694,1872.34,141220216.76987246
2014-06-30,147992433.01753688,1960.23,147849271.77692467
2014-09-30,133863569.16753693,1972.29,148758890.65717325
2014-12-31,130305573.04753691,2058.9,155291402.3668193
2015-03-31,121987739.70753692,2067.89,155969468.1821953
2015-06-30,119915892.06753692,2063.11,155608939.30594423
2015-09-30,100037689.19603692,1920.03,144817208.84276265
2015-12-31,102103787.41653691,2043.94,154163052.57838488
2016-03-31,113246881.42243691,2059.74,155354758.90574208
2016-06-30,147465427.7975369,2098.86,158305363.43271765
2016-09-30,154661250.00753695,2168.27,163540574.5834685
2017-03-31,156300667.15753692,2362.72,178206859.0995829
2017-06-30,154504025.89753693,2423.41,182784369.03675434
