Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,99101159.44333333,1320.64,99608547.09879851
2011-09-30,79417890.52666667,1131.42,85336732.46192953
2012-12-31,109699725.01,1426.19,107569597.9122512
2013-09-30,128394529.25333333,1681.55,126829985.74477875
2013-12-31,138111338.26666668,1848.36,139411538.43252906
2014-03-31,147742556.34849998,1872.34,141220216.76987246
2014-06-30,156602250.0673,1960.23,147849271.77692467
2014-09-30,145230907.3585,1972.29,148758890.65717325
2014-12-31,130094880.68849999,2058.9,155291402.3668193
2015-03-31,132712698.9285,2067.89,155969468.1821953
2015-06-30,139186046.2297,2063.11,155608939.30594423
2015-09-30,127173613.4585,1920.03,144817208.84276265
2015-12-31,131452701.3497,2043.94,154163052.57838488
2016-03-31,126781511.6925,2059.74,155354758.90574208
2016-06-30,132250398.7585,2098.86,158305363.43271765
2016-09-30,138560630.2985,2168.27,163540574.5834685
2017-03-31,148078960.0122,2362.72,178206859.0995829
2017-06-30,147172797.63849998,2423.41,182784369.03675434
