Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,97478915.9441809,1320.64,99608547.09879851
2011-09-30,74109710.13135013,1131.42,85336732.46192953
2012-12-31,76671025.0209181,1426.19,107569597.9122512
2013-09-30,94052344.87879989,1681.55,126829985.74477875
2013-12-31,99639757.51128413,1848.36,139411538.43252906
2014-03-31,99033428.1990369,1872.34,141220216.76987246
2014-06-30,101407887.23638463,1960.23,147849271.77692467
2014-09-30,93861310.83944194,1972.29,148758890.65717325
2014-12-31,94466409.2440324,2058.9,155291402.3668193
2015-03-31,97326413.61054905,2067.89,155969468.1821953
2015-06-30,93058707.53771077,2063.11,155608939.30594423
2015-09-30,83557435.0470597,1920.03,144817208.84276265
2015-12-31,88001431.63368137,2043.94,154163052.57838488
2016-03-31,93670854.33820882,2059.74,155354758.90574208
2016-06-30,93619152.80222923,2098.86,158305363.43271765
2016-09-30,95407899.14756675,2168.27,163540574.5834685
2017-03-31,105056465.69756676,2362.72,178206859.0995829
2017-06-30,105854196.51756676,2423.41,182784369.03675434
