Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,101346819.12500001,1320.64,99608547.09879851
2011-09-30,93565476.89500001,1131.42,85336732.46192953
2012-12-31,98536903.07000001,1426.19,107569597.9122512
2013-09-30,118467590.32,1681.55,126829985.74477875
2013-12-31,119949357.565,1848.36,139411538.43252906
2014-03-31,120641202.45,1872.34,141220216.76987246
2014-06-30,122561968.59,1960.23,147849271.77692467
2014-09-30,117771571.72500001,1972.29,148758890.65717325
2014-12-31,121445093.02999999,2058.9,155291402.3668193
2015-03-31,123263783.34499998,2067.89,155969468.1821953
2015-06-30,119112816.35000001,2063.11,155608939.30594423
2015-09-30,113713494.865,1920.03,144817208.84276265
2015-12-31,120476612.91499999,2043.94,154163052.57838488
2016-03-31,126966316.585,2059.74,155354758.90574208
2016-06-30,129151047.5,2098.86,158305363.43271765
2016-09-30,127602995.845,2168.27,163540574.5834685
2017-03-31,142187935.98499998,2362.72,178206859.0995829
2017-06-30,141497493.065,2423.41,182784369.03675434
