Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,104845132.33,1320.64,99608547.09879851
2011-09-30,93821991.57499999,1131.42,85336732.46192953
2012-12-31,108394260.88999999,1426.19,107569597.9122512
2013-09-30,125452124.08,1681.55,126829985.74477875
2013-12-31,130917877.77499999,1848.36,139411538.43252906
2014-03-31,133228012.07,1872.34,141220216.76987246
2014-06-30,140093969.24,1960.23,147849271.77692467
2014-09-30,136258608.795,1972.29,148758890.65717325
2014-12-31,140515186.86999997,2058.9,155291402.3668193
2015-03-31,143051956.16500002,2067.89,155969468.1821953
2015-06-30,136687927.0201,2063.11,155608939.30594423
2015-09-30,124715088.275,1920.03,144817208.84276265
2015-12-31,135131603.99510002,2043.94,154163052.57838488
2016-03-31,147808117.41700003,2059.74,155354758.90574208
2016-06-30,151546523.97,2098.86,158305363.43271765
2016-09-30,149633704.60500002,2168.27,163540574.5834685
2017-03-31,167791927.155,2362.72,178206859.0995829
2017-06-30,173886391.60499996,2423.41,182784369.03675434
