,Revenue,Cost of Goods Sold,SG&A,EBIT,Net Income,Cash and Cash Equivalents,Recievables,Inventories,Other Current Assets,PP&E,Other Assets,Debt in Current Liabilities,Accounts Payable,Taxes Payable,Other Current Liabilities,Total Liabilities,timestemp,EBIT/EV,gevkey,gvkey
0,0.031131302937865257,0.019957952201366425,0.14198701083660126,0.6517350077629089,0.6017820239067078,0.2290683537721634,0.04588232561945915,0.15094441175460815,0.13043467700481415,0.07320363074541092,0.1096925288438797,0.1474297195672989,0.06894699484109879,0.12550915777683258,0.28235042095184326,0.08787156641483307,1990-03-31,0.02891874430399562,1209,1209
1,0.04010317102074623,0.029146451503038406,0.1561325490474701,0.6524603366851807,0.5993462204933167,0.2223554402589798,0.058480750769376755,0.18611827492713928,0.14899559319019318,0.10022474825382233,0.13092543184757233,0.17430758476257324,0.07865487784147263,0.1509997546672821,0.29513582587242126,0.11835381388664246,1990-06-30,0.025749325160102376,1209,1209
2,0.06715173274278641,0.05313064157962799,0.18439893424510956,0.666386604309082,0.6166924834251404,0.20194844901561737,0.09739124029874802,0.26914647221565247,0.19453103840351105,0.17105786502361298,0.16742658615112305,0.21930138766765594,0.09574732929468155,0.201944500207901,0.3218427896499634,0.19407621026039124,1990-09-30,0.03267826055744001,1209,1209
3,0.06204049289226532,0.04884815216064453,0.17983359098434448,0.6630335450172424,0.6124157905578613,0.2052805870771408,0.08996271342039108,0.2551652789115906,0.18698987364768982,0.1585267037153244,0.16225238144397736,0.21321265399456024,0.09320401400327682,0.1936926394701004,0.31787946820259094,0.1810232549905777,1990-12-31,0.02721428540643181,1209,1209
4,0.061743274331092834,0.04858723282814026,0.17950737476348877,0.662696361541748,0.6120510697364807,0.20545561611652374,0.08952430635690689,0.2543274462223053,0.18663166463375092,0.15779122710227966,0.16195090115070343,0.21295544505119324,0.09302961826324463,0.1931578516960144,0.31770560145378113,0.18026526272296906,1991-03-31,0.02485542697343,1209,1209
5,0.050047460943460464,0.03841862082481384,0.16802778840065002,0.6563817858695984,0.603770911693573,0.21415404975414276,0.07266757637262344,0.21958661079406738,0.16738460958003998,0.12768855690956116,0.14745479822158813,0.1950550228357315,0.08623797446489334,0.17238184809684753,0.30672138929367065,0.1483159363269806,1991-06-30,0.024122186128323404,1209,1209
6,0.08700215071439743,0.06916306912899017,0.20067065954208374,0.681460976600647,0.635018527507782,0.19122368097305298,0.12654642760753632,0.3185298442840576,0.22001118957996368,0.21685771644115448,0.1832428127527237,0.23641447722911835,0.10416494309902191,0.2317010909318924,0.33374008536338806,0.24084731936454773,1991-09-30,0.021611380328022442,1209,1209
7,0.09981918334960938,0.0791124477982521,0.21000748872756958,0.6913853883743286,0.6467276215553284,0.18574708700180054,0.14553159475326538,0.34708625078201294,0.23456095159053802,0.24437250196933746,0.19101472198963165,0.24434340000152588,0.10866759717464447,0.24967055022716522,0.33962273597717285,0.2685354948043823,1991-12-31,0.022383734486273302,1209,1209
8,0.10124209523200989,0.08027099817991257,0.21133753657341003,0.6933026313781738,0.6487064957618713,0.18529820442199707,0.1477201282978058,0.3501799404621124,0.23548837006092072,0.2473198026418686,0.19166265428066254,0.2443632185459137,0.10924366861581802,0.2518558204174042,0.3398265540599823,0.27138271927833557,1992-03-31,0.02175746106768935,1209,1209
9,0.10976043343544006,0.0869148001074791,0.21796491742134094,0.7018163800239563,0.6579589247703552,0.18245325982570648,0.16059520840644836,0.36803537607192993,0.24298055469989777,0.2646808624267578,0.19566084444522858,0.24677903950214386,0.11217842996120453,0.26417356729507446,0.3421373963356018,0.2884903848171234,1992-06-30,0.02116464176644551,1209,1209
10,0.11969122290611267,0.0945882499217987,0.22538907825946808,0.7115433812141418,0.6684181690216064,0.17956188321113586,0.17567692697048187,0.3878703713417053,0.25123080611228943,0.284216970205307,0.19971472024917603,0.24894586205482483,0.11537975072860718,0.2784612476825714,0.3443986177444458,0.3076983392238617,1992-09-30,0.020614886994739654,1209,1209
11,0.12043125182390213,0.09503839164972305,0.22529272735118866,0.7108392119407654,0.6679379940032959,0.17922979593276978,0.17664839327335358,0.3891722559928894,0.2529597580432892,0.28568392992019653,0.2002383917570114,0.250450998544693,0.11542562395334244,0.279075562953949,0.34525471925735474,0.3093682825565338,1992-12-31,0.019450038381618552,1209,1209
12,0.12444070726633072,0.09813381731510162,0.22814932465553284,0.714608907699585,0.6719546914100647,0.1782073825597763,0.18275439739227295,0.3968222141265869,0.2561660706996918,0.29336610436439514,0.20172710716724396,0.25122541189193726,0.11666641384363174,0.28463029861450195,0.3461403548717499,0.3169304132461548,1993-03-31,0.02265616983051704,1209,1209
13,0.13019883632659912,0.10253837704658508,0.23195132613182068,0.7194773554801941,0.6771916151046753,0.17681533098220825,0.19148878753185272,0.40748506784439087,0.26102808117866516,0.3042289614677429,0.2038128823041916,0.25266674160957336,0.11834613978862762,0.2923809289932251,0.3475748300552368,0.3277081847190857,1993-06-30,0.023282727079063103,1209,1209
14,0.1314907968044281,0.10370620340108871,0.23356370627880096,0.7221923470497131,0.6797836422920227,0.17667342722415924,0.1936667114496231,0.40993714332580566,0.26061517000198364,0.30661067366600037,0.20398283004760742,0.25131702423095703,0.11896828562021255,0.2943260967731476,0.34713467955589294,0.3297557532787323,1993-09-30,-0.001269318008311273,1209,1209
