Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100622535.93918091,1320.64,99608547.09879851
2011-09-30,83130553.19135013,1131.42,85336732.46192953
2012-12-31,89954217.44091809,1426.19,107569597.9122512
2013-09-30,110457492.41879989,1681.55,126829985.74477875
2013-12-31,115308031.4112841,1848.36,139411538.43252906
2014-03-31,113500707.9490369,1872.34,141220216.76987246
2014-06-30,115165770.92638464,1960.23,147849271.77692467
2014-09-30,111848478.05944194,1972.29,148758890.65717325
2014-12-31,113031155.47944193,2058.9,155291402.3668193
2015-03-31,113126956.55944194,2067.89,155969468.1821953
2015-06-30,108926113.75944193,2063.11,155608939.30594423
2015-09-30,101289494.10944194,1920.03,144817208.84276265
2015-12-31,107631602.93944193,2043.94,154163052.57838488
2016-03-31,115993746.44944195,2059.74,155354758.90574208
2016-06-30,116008908.37944195,2098.86,158305363.43271765
2016-09-30,114345474.38321331,2168.27,163540574.5834685
2017-03-31,126397717.86361834,2362.72,178206859.0995829
2017-06-30,127537774.36361837,2423.41,182784369.03675434
