Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100759956.62918091,1320.64,99608547.09879851
2011-09-30,85468354.45635012,1131.42,85336732.46192953
2012-12-31,95967306.02091809,1426.19,107569597.9122512
2013-09-30,117491109.20879988,1681.55,126829985.74477875
2013-12-31,126912791.49628413,1848.36,139411538.43252906
2014-03-31,127925890.74903691,1872.34,141220216.76987246
2014-06-30,136053022.1390369,1960.23,147849271.77692467
2014-09-30,127816445.7600435,1972.29,148758890.65717325
2014-12-31,127410802.10949895,2058.9,155291402.3668193
2015-03-31,132164258.27964747,2067.89,155969468.1821953
2015-06-30,121725345.7766907,2063.11,155608939.30594423
2015-09-30,108380248.85086858,1920.03,144817208.84276265
2015-12-31,111697589.31944647,2043.94,154163052.57838488
2016-03-31,115957825.36196432,2059.74,155354758.90574208
2016-06-30,116352594.82931745,2098.86,158305363.43271765
2016-09-30,115556735.81773326,2168.27,163540574.5834685
2017-03-31,108907278.34448078,2362.72,178206859.0995829
2017-06-30,107214865.02298081,2423.41,182784369.03675434
