Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,102844442.655,1320.64,99608547.09879851
2011-09-30,94005279.47000003,1131.42,85336732.46192953
2012-12-31,95901850.00000001,1426.19,107569597.9122512
2013-09-30,115286313.36000001,1681.55,126829985.74477875
2013-12-31,117316765.97,1848.36,139411538.43252906
2014-03-31,115128824.21,1872.34,141220216.76987246
2014-06-30,116943620.99,1960.23,147849271.77692467
2014-09-30,113506809.69500002,1972.29,148758890.65717325
2014-12-31,114875187.25000001,2058.9,155291402.3668193
2015-03-31,115834741.94500002,2067.89,155969468.1821953
2015-06-30,112932588.48,2063.11,155608939.30594423
2015-09-30,103789141.805,1920.03,144817208.84276265
2015-12-31,110915202.355,2043.94,154163052.57838488
2016-03-31,118741395.09500001,2059.74,155354758.90574208
2016-06-30,120325546.18000002,2098.86,158305363.43271765
2016-09-30,127725744.44500002,2168.27,163540574.5834685
2017-03-31,149064224.345,2362.72,178206859.0995829
2017-06-30,158060527.53500003,2423.41,182784369.03675434
