Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,93838297.36,1320.64,99608547.09879851
2011-09-30,64904490.580000006,1131.42,85336732.46192953
2012-12-31,90340138.77999999,1426.19,107569597.9122512
2013-09-30,99809870.72,1681.55,126829985.74477875
2013-12-31,111992852.99,1848.36,139411538.43252906
2014-03-31,115773380.09,1872.34,141220216.76987246
2014-06-30,118487630.83500001,1960.23,147849271.77692467
2014-09-30,104612305.39500001,1972.29,148758890.65717325
2014-12-31,101488067.645,2058.9,155291402.3668193
2015-03-31,103202182.57499999,2067.89,155969468.1821953
2015-06-30,95738448.588,2063.11,155608939.30594423
2015-09-30,78035224.795,1920.03,144817208.84276265
2015-12-31,87122569.138,2043.94,154163052.57838488
2016-03-31,85483822.13499999,2059.74,155354758.90574208
2016-06-30,85345647.65499999,2098.86,158305363.43271765
2016-09-30,94848478.655,2168.27,163540574.5834685
2017-03-31,109242827.575,2362.72,178206859.0995829
2017-06-30,108200536.665,2423.41,182784369.03675434
