Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100159640.96418092,1320.64,99608547.09879851
2011-09-30,84452233.77635013,1131.42,85336732.46192953
2012-12-31,95459953.89091809,1426.19,107569597.9122512
2013-09-30,121168473.56379989,1681.55,126829985.74477875
2013-12-31,130832313.17628412,1848.36,139411538.43252906
2014-03-31,125760346.61403689,1872.34,141220216.76987246
2014-06-30,127410738.2840369,1960.23,147849271.77692467
2014-09-30,120989676.45403692,1972.29,148758890.65717325
2014-12-31,121758141.90403691,2058.9,155291402.3668193
2015-03-31,121350436.29403691,2067.89,155969468.1821953
2015-06-30,115110651.04403691,2063.11,155608939.30594423
2015-09-30,107207268.24403691,1920.03,144817208.84276265
2015-12-31,112809475.0040369,2043.94,154163052.57838488
2016-03-31,121122106.37403694,2059.74,155354758.90574208
2016-06-30,120244015.13403691,2098.86,158305363.43271765
2016-09-30,121672277.55403692,2168.27,163540574.5834685
2017-03-31,135302702.4440369,2362.72,178206859.0995829
2017-06-30,135436330.0340369,2423.41,182784369.03675434
