Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,97753411.55918093,1320.64,99608547.09879851
2011-09-30,75352727.04135016,1131.42,85336732.46192953
2012-12-31,79194967.1109181,1426.19,107569597.9122512
2013-09-30,99698585.81879991,1681.55,126829985.74477875
2013-12-31,106140185.54128414,1848.36,139411538.43252906
2014-03-31,105182215.74903692,1872.34,141220216.76987246
2014-06-30,109651513.57638465,1960.23,147849271.77692467
2014-09-30,104336808.40944195,1972.29,148758890.65717325
2014-12-31,106046897.68403241,2058.9,155291402.3668193
2015-03-31,108324960.67054906,2067.89,155969468.1821953
2015-06-30,103975808.3077108,2063.11,155608939.30594423
2015-09-30,93060956.75705971,1920.03,144817208.84276265
2015-12-31,101292283.3536814,2043.94,154163052.57838488
2016-03-31,109500423.00368138,2059.74,155354758.90574208
2016-06-30,108144826.0336814,2098.86,158305363.43271765
2016-09-30,110637144.70368136,2168.27,163540574.5834685
2017-03-31,118607509.80368139,2362.72,178206859.0995829
2017-06-30,116334857.22368138,2423.41,182784369.03675434
