Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,103338012.82833332,1320.64,99608547.09879851
2011-09-30,89709006.68666667,1131.42,85336732.46192953
2012-12-31,120821647.65,1426.19,107569597.9122512
2013-09-30,140719067.78333333,1681.55,126829985.74477875
2013-12-31,142964953.05666667,1848.36,139411538.43252906
2014-03-31,144971485.6085,1872.34,141220216.76987246
2014-06-30,153089739.14999998,1960.23,147849271.77692467
2014-09-30,143836463.79,1972.29,148758890.65717325
2014-12-31,133203980.28999999,2058.9,155291402.3668193
2015-03-31,133289820.49,2067.89,155969468.1821953
2015-06-30,137036805.48,2063.11,155608939.30594423
2015-09-30,132330822.64649998,1920.03,144817208.84276265
2015-12-31,133268335.941,2043.94,154163052.57838488
2016-03-31,137726014.8661,2059.74,155354758.90574208
2016-06-30,177911663.39,2098.86,158305363.43271765
2016-09-30,185780414.56,2168.27,163540574.5834685
2017-03-31,197154645.14999998,2362.72,178206859.0995829
2017-06-30,195580961.06546667,2423.41,182784369.03675434
