Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100052581.66000003,1320.64,99608547.09879851
2011-09-30,81964910.21000001,1131.42,85336732.46192953
2012-12-31,81053440.69000001,1426.19,107569597.9122512
2013-09-30,100915654.95000002,1681.55,126829985.74477875
2013-12-31,101420975.89999999,1848.36,139411538.43252906
2014-03-31,104690771.82000002,1872.34,141220216.76987246
2014-06-30,108455641.75213335,1960.23,147849271.77692467
2014-09-30,99635109.06333336,1972.29,148758890.65717325
2014-12-31,99330619.21333337,2058.9,155291402.3668193
2015-03-31,106063909.07000002,2067.89,155969468.1821953
2015-06-30,106827490.61453333,2063.11,155608939.30594423
2015-09-30,106496566.79000002,1920.03,144817208.84276265
2015-12-31,110817583.63120002,2043.94,154163052.57838488
2016-03-31,107141276.23733336,2059.74,155354758.90574208
2016-06-30,106119493.98666668,2098.86,158305363.43271765
2016-09-30,108665462.29433335,2168.27,163540574.5834685
2017-03-31,137175481.28666666,2362.72,178206859.0995829
2017-06-30,148049047.69666666,2423.41,182784369.03675434
