Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,103940428.65833333,1320.64,99608547.09879851
2011-09-30,91222504.02166665,1131.42,85336732.46192953
2012-12-31,112991674.41,1426.19,107569597.9122512
2013-09-30,135949470.90333334,1681.55,126829985.74477875
2013-12-31,141732763.18166667,1848.36,139411538.43252906
2014-03-31,148194172.3885,1872.34,141220216.76987246
2014-06-30,158998463.34333333,1960.23,147849271.77692467
2014-09-30,154356895.17333332,1972.29,148758890.65717325
2014-12-31,144135500.19333333,2058.9,155291402.3668193
2015-03-31,149110409.04,2067.89,155969468.1821953
2015-06-30,151741235.4533333,2063.11,155608939.30594423
2015-09-30,145815242.3865,1920.03,144817208.84276265
2015-12-31,142815362.351,2043.94,154163052.57838488
2016-03-31,145470932.74409997,2059.74,155354758.90574208
2016-06-30,151855043.38,2098.86,158305363.43271765
2016-09-30,154813398.26999998,2168.27,163540574.5834685
2017-03-31,163344280.736,2362.72,178206859.0995829
2017-06-30,159221366.48,2423.41,182784369.03675434
