Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,98002673.005,1320.64,99608547.09879851
2011-09-30,84985203.11999999,1131.42,85336732.46192953
2012-12-31,101925229.965,1426.19,107569597.9122512
2013-09-30,121396134.44999999,1681.55,126829985.74477875
2013-12-31,131792374.48999998,1848.36,139411538.43252906
2014-03-31,132553628.04999998,1872.34,141220216.76987246
2014-06-30,139197281.94499996,1960.23,147849271.77692467
2014-09-30,132541857.92500001,1972.29,148758890.65717325
2014-12-31,130374305.74499999,2058.9,155291402.3668193
2015-03-31,133791486.35499997,2067.89,155969468.1821953
2015-06-30,130447737.925,2063.11,155608939.30594423
2015-09-30,114715300.77499999,1920.03,144817208.84276265
2015-12-31,126186960.255,2043.94,154163052.57838488
2016-03-31,130665617.39499998,2059.74,155354758.90574208
2016-06-30,132955590.82499999,2098.86,158305363.43271765
2016-09-30,140206032.315,2168.27,163540574.5834685
2017-03-31,155803821.565,2362.72,178206859.0995829
2017-06-30,167281921.42499998,2423.41,182784369.03675434
