Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,100065287.03,1320.64,99608547.09879851
2011-09-30,93357957.385,1131.42,85336732.46192953
2012-12-31,110863094.88,1426.19,107569597.9122512
2013-09-30,133209546.95,1681.55,126829985.74477875
2013-12-31,138280435.085,1848.36,139411538.43252906
2014-03-31,138996202.01000002,1872.34,141220216.76987246
2014-06-30,143322743.12333336,1960.23,147849271.77692467
2014-09-30,137025154.74833336,1972.29,148758890.65717325
2014-12-31,142358874.92333335,2058.9,155291402.3668193
2015-03-31,143276442.12500003,2067.89,155969468.1821953
2015-06-30,139248351.52333334,2063.11,155608939.30594423
2015-09-30,131171604.715,1920.03,144817208.84276265
2015-12-31,138658940.455,2043.94,154163052.57838488
2016-03-31,143033921.18833333,2059.74,155354758.90574208
2016-06-30,147375681.6666667,2098.86,158305363.43271765
2016-09-30,143862847.59833336,2168.27,163540574.5834685
2017-03-31,166491883.59166667,2362.72,178206859.0995829
2017-06-30,167168055.5416667,2423.41,182784369.03675434
