Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,103792319.115,1320.64,99608547.09879851
2011-09-30,94217449.49499997,1131.42,85336732.46192953
2012-12-31,120873846.27499999,1426.19,107569597.9122512
2013-09-30,144875072.51999998,1681.55,126829985.74477875
2013-12-31,147777149.935,1848.36,139411538.43252906
2014-03-31,150521135.5585,1872.34,141220216.76987246
2014-06-30,157116329.7285,1960.23,147849271.77692467
2014-09-30,152329018.30350003,1972.29,148758890.65717325
2014-12-31,160894715.62849998,2058.9,155291402.3668193
2015-03-31,164284206.59350002,2067.89,155969468.1821953
2015-06-30,156183669.64849997,2063.11,155608939.30594423
2015-09-30,131614031.15349998,1920.03,144817208.84276265
2015-12-31,139275944.6535,2043.94,154163052.57838488
2016-03-31,150528348.9735,2059.74,155354758.90574208
2016-06-30,160165332.9085,2098.86,158305363.43271765
2016-09-30,158021764.6835,2168.27,163540574.5834685
2017-03-31,170573600.1735,2362.72,178206859.0995829
2017-06-30,173964692.4635,2423.41,182784369.03675434
