Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,102300214.24000001,1320.64,99608547.09879851
2011-09-30,93276768.285,1131.42,85336732.46192953
2012-12-31,110116004.39,1426.19,107569597.9122512
2013-09-30,126309155.72,1681.55,126829985.74477875
2013-12-31,133153296.735,1848.36,139411538.43252906
2014-03-31,134698745.04,1872.34,141220216.76987246
2014-06-30,139115251.06579998,1960.23,147849271.77692467
2014-09-30,130785853.9258,1972.29,148758890.65717325
2014-12-31,122461022.8784,2058.9,155291402.3668193
2015-03-31,119457672.09580001,2067.89,155969468.1821953
2015-06-30,117747661.60000001,2063.11,155608939.30594423
2015-09-30,97565832.2158,1920.03,144817208.84276265
2015-12-31,101278804.2158,2043.94,154163052.57838488
2016-03-31,107285591.58580002,2059.74,155354758.90574208
2016-06-30,1791512261.2718,2098.86,158305363.43271765
2016-09-30,2157689878.9218,2168.27,163540574.5834685
2017-03-31,1932921324.4640002,2362.72,178206859.0995829
2017-06-30,1846128829.7351334,2423.41,182784369.03675434
